,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
828,nguyenchithanh1954,5,2022-09-19 09:00,,"chưa biết xài hiệu quả ntn do mình mới mua lần đầu, mong có hiệu quả","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,139,1,0.97101134
829,xuanthang7895,5,2021-01-04 13:19,,"Giao hàng nhanh, chất lượng thì phải dùng đã mới biết",,0,139,1,0.99840266
830,pvthanh123,5,2022-09-19 17:48,,"Công dụng: Mờ thâm sẹo
Dành cho da: sẹo thâm
Dùng đc một tg r nma vẫn chưa thấy đỡ thâm ko bt về sau ntn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,139,0,9.176894e-10
831,moccc1910,5,2020-10-08 19:50,,"Đóng gói chắc chắn, lần sau nhất định sẽ ủng hộ tiếp😘",,0,139,1,0.90783453
833,yeuhoa1975,5,2021-01-15 11:57,,"Giao hàng nhanh, mình mới đặt hôm qua mà nay đã giao tới rồi, sản phẩm xài tạm được mỗi tội mùi hơi nồng còn lại thì đều ổn:)))",,0,139,1,0.8914134
834,nguyenchithanh1954,5,2022-09-19 09:00,,"chưa biết xài hiệu quả ntn do mình mới mua lần đầu, mong có hiệu quả","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,140,1,0.97101134
835,xuanthang7895,5,2021-01-04 13:19,,"Giao hàng nhanh, chất lượng thì phải dùng đã mới biết",,0,140,1,0.99840266
836,pvthanh123,5,2022-09-19 17:48,,"Công dụng: Mờ thâm sẹo
Dành cho da: sẹo thâm
Dùng đc một tg r nma vẫn chưa thấy đỡ thâm ko bt về sau ntn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,140,0,9.176894e-10
837,moccc1910,5,2020-10-08 19:50,,"Đóng gói chắc chắn, lần sau nhất định sẽ ủng hộ tiếp😘",,0,140,1,0.90783453
839,yeuhoa1975,5,2021-01-15 11:57,,"Giao hàng nhanh, mình mới đặt hôm qua mà nay đã giao tới rồi, sản phẩm xài tạm được mỗi tội mùi hơi nồng còn lại thì đều ổn:)))",,0,140,1,0.8914134
