,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
99,bienlien1920,5,2021-11-25 20:14,,Đánh giá 5s. Chưa sử dụng mong có hiệu quả tốt. Đóng gói chắc chắn. Nếu sau sử dụng ok thì sẽ ủng hộ shop thêm.,,0,17,0,0.5663023
100,a*****o,5,2023-05-23 08:48,,Giảm các triệu chứng say,,0,17,1,0.992257
101,quyet.doan,5,2023-05-06 08:54,,Nhanh,,0,17,1,0.9353594
102,hoang6668,5,2022-04-28 15:07,,Giao hàng nhanh sp tốt,,0,18,1,0.9995703
103,hoang6668,5,2022-04-24 13:33,,Sp tốt,,0,18,1,0.9880144
104,hameo157,5,2021-12-13 12:34,,"Giao hàng nhanh, sp tốt",,0,18,1,0.9995703
105,tuelinh11122018,5,2021-05-14 14:50,,"Sp rất tốt, shop gói hàng rất cẩn thận",,0,18,0,0.5183502
106,oocmintran,5,2022-02-17 11:09,,Ko bị bể,,0,18,0,0.57469034
107,nhumai9713,5,2021-11-04 09:59,,"Gói hàng rất kỹ, chỉnh chu, duyệt!",,0,18,1,1.0
108,hoang6668,5,2022-04-28 15:07,,Giao hàng nhanh sp tốt,,0,19,1,0.9995703
109,hoang6668,5,2022-04-24 13:33,,Sp tốt,,0,19,1,0.9880144
110,hameo157,5,2021-12-13 12:34,,"Giao hàng nhanh, sp tốt",,0,19,1,0.9995703
111,tuelinh11122018,5,2021-05-14 14:50,,"Sp rất tốt, shop gói hàng rất cẩn thận",,0,19,0,0.5183502
112,oocmintran,5,2022-02-17 11:09,,Ko bị bể,,0,19,0,0.57469034
113,nhumai9713,5,2021-11-04 09:59,,"Gói hàng rất kỹ, chỉnh chu, duyệt!",,0,19,1,1.0
114,hoang6668,5,2022-04-28 15:07,,Giao hàng nhanh sp tốt,,0,20,1,0.9995703
115,hoang6668,5,2022-04-24 13:33,,Sp tốt,,0,20,1,0.9880144
116,hameo157,5,2021-12-13 12:34,,"Giao hàng nhanh, sp tốt",,0,20,1,0.9995703
117,tuelinh11122018,5,2021-05-14 14:50,,"Sp rất tốt, shop gói hàng rất cẩn thận",,0,20,0,0.5183502
118,oocmintran,5,2022-02-17 11:09,,Ko bị bể,,0,20,0,0.57469034
119,nhumai9713,5,2021-11-04 09:59,,"Gói hàng rất kỹ, chỉnh chu, duyệt!",,0,20,1,1.0
120,hoang6668,5,2022-04-28 15:07,,Giao hàng nhanh sp tốt,,0,21,1,0.9995703
121,hoang6668,5,2022-04-24 13:33,,Sp tốt,,0,21,1,0.9880144
122,hameo157,5,2021-12-13 12:34,,"Giao hàng nhanh, sp tốt",,0,21,1,0.9995703
123,tuelinh11122018,5,2021-05-14 14:50,,"Sp rất tốt, shop gói hàng rất cẩn thận",,0,21,0,0.5183502
124,oocmintran,5,2022-02-17 11:09,,Ko bị bể,,0,21,0,0.57469034
125,nhumai9713,5,2021-11-04 09:59,,"Gói hàng rất kỹ, chỉnh chu, duyệt!",,0,21,1,1.0
233,jancap,4,2023-02-10 12:01,,"Mua nhiều lần lắm rồi, chẳng biết có tác dụng không nhưng uống để giải quyết vấn đề tâm lý là chính. Thấy ông chồng kêu không bị đau đầu không mệt chắc là có tác dụng hy vọng thế ￼","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,,
