,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
1766,cuong631971,4,2020-06-30 21:41,Phân loại hàng: Hương Trà Xanh,Mùi trà xanh thì ok. Còn 2 mùi kia thì hơi khó chịu😥😣😭,,0,6,,
1767,ninefeb1995.dp3,4,2018-05-29 21:53,,Mùi thơm nhẹ nhàng.,"Dạ shop chào bạn, shop cảm ơn phản hồi của bạn, shop cảm ơn bạn đã ủng hộ sản phẩm của shop nha.^TTT",0,6,,
1768,minhtuphan06,3,2022-04-07 10:58,Phân loại hàng: Hương Hương Thảo,"Công dụng: .
Mùi hương: .
Phù hợp với loại da: .
dùng vàng áo, mùi thơm, vàng áo nên chắc k mua lần sau, nhma hàng tặng vẫn cảm ơn shop rấc nhìu ạaaa",,0,1,,
1769,s*****1,3,2023-03-07 09:50,Phân loại hàng: Hương Hương Thảo,Đúng là mùi hương thảo thất nhưng cái này thật sự không hợp để xịt nách :)))) bạn nào mà nặng mùi xịt cái này hai mùi quện vào thì thôi rồi luôn =)),"Rohto Mentholatum Viet Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Viet Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..

",0,1,,
1770,ttthanhhuyeen,3,2022-04-19 18:38,Phân loại hàng: Hương gỗ,Mùi khó chịu lắm nồng mình không thích các bạn nên cân nhắc khi mua,"Cảm ơn bạn đã dành thời gian đánh giá sản phẩm. Shop cam kết kinh doanh hàng chính hãng. Có thể cảm nhận mỗi người khác nhau về hương thơm. Shop đã nhắn tin đến bạn, bạn kiểm tra tin nhắn giúp shop nha
DONHI^",0,1,,
1771,siumi_888,3,2022-03-23 12:37,Phân loại hàng: Hương gỗ,"Chai xịt đẹp, nhưng bị lỗi ko xịt được. Mùi hương gỗ nhẹ nhàng, theo ý kiến riêng thì phù hợp với độ tuổi trung niên. Khi mình không vận động thì chai xịt cho hiệu quả khử mùi tốt(suốt ngày ko hôi).Nhưng khi xịt rồi đi tập thể dục thì mùi hôi cơ thể nực nồng giống như ko xịt vậy.","Shop cảm ơn bạn đã phản hồi thông tin và rất tiếc vì sự cố bạn gặp phải :( . Shop xin ghi nhận góp ý của bạn và sẽ làm việc với bộ phận liên quan để cải thiện vấn đề lỗi vòi xịt và chất lượng sản phẩm trong thời gian tới. Để lần mua hàng tiếp theo dù là ở shop Mall nào bất kì, khi sản phẩm bạn nhận được có vấn đề và nếu bạn thấy bất tiện thì bạn cứ bấm ""Trả hàng hoàn tiền"" trong vòng 7 ngày kể từ khi đơn hàng giao thành công, mong bạn thông cảm và tiếp tục ủng hộ Shop nhé <3 LKL",0,1,,
1772,Người dùng Shopee,3,2019-08-26 22:19,Phân loại hàng: Hương Ylang Ylang,"Giao hàng nhanh, mình mua chai màu vàng mùi không thích cho lắm, đầu xịt khó, tạm được",,0,1,,
1773,n*****5,3,2023-01-18 18:41,Phân loại hàng: Hương gỗ,"Thời gian giao hàng lâu, đóng gói sp sơ xài, bên trong hộp của xịt khử mùi cứ vàng vàng giống hàng cũ, do vận chuyển nên vỏ hộp cũng nhăn nheo nhiều. 
Ưu điểm: date xa đến 20-21/10/2025., rep tin nhắn nhanh. 
Sẽ phải cân nhắc khi mua lại sp.","Rohto Mentholatum Viet Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Viet Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..
",0,1,,
1774,minhtuphan06,3,2022-04-07 10:58,Phân loại hàng: Hương Hương Thảo,"Công dụng: .
Mùi hương: .
Phù hợp với loại da: .
dùng vàng áo, mùi thơm, vàng áo nên chắc k mua lần sau, nhma hàng tặng vẫn cảm ơn shop rấc nhìu ạaaa",,0,2,,
1775,s*****1,3,2023-03-07 09:50,Phân loại hàng: Hương Hương Thảo,Đúng là mùi hương thảo thất nhưng cái này thật sự không hợp để xịt nách :)))) bạn nào mà nặng mùi xịt cái này hai mùi quện vào thì thôi rồi luôn =)),"Rohto Mentholatum Viet Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Viet Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..

",0,2,,
1776,ttthanhhuyeen,3,2022-04-19 18:38,Phân loại hàng: Hương gỗ,Mùi khó chịu lắm nồng mình không thích các bạn nên cân nhắc khi mua,"Cảm ơn bạn đã dành thời gian đánh giá sản phẩm. Shop cam kết kinh doanh hàng chính hãng. Có thể cảm nhận mỗi người khác nhau về hương thơm. Shop đã nhắn tin đến bạn, bạn kiểm tra tin nhắn giúp shop nha
DONHI^",0,2,,
1777,siumi_888,3,2022-03-23 12:37,Phân loại hàng: Hương gỗ,"Chai xịt đẹp, nhưng bị lỗi ko xịt được. Mùi hương gỗ nhẹ nhàng, theo ý kiến riêng thì phù hợp với độ tuổi trung niên. Khi mình không vận động thì chai xịt cho hiệu quả khử mùi tốt(suốt ngày ko hôi).Nhưng khi xịt rồi đi tập thể dục thì mùi hôi cơ thể nực nồng giống như ko xịt vậy.","Shop cảm ơn bạn đã phản hồi thông tin và rất tiếc vì sự cố bạn gặp phải :( . Shop xin ghi nhận góp ý của bạn và sẽ làm việc với bộ phận liên quan để cải thiện vấn đề lỗi vòi xịt và chất lượng sản phẩm trong thời gian tới. Để lần mua hàng tiếp theo dù là ở shop Mall nào bất kì, khi sản phẩm bạn nhận được có vấn đề và nếu bạn thấy bất tiện thì bạn cứ bấm ""Trả hàng hoàn tiền"" trong vòng 7 ngày kể từ khi đơn hàng giao thành công, mong bạn thông cảm và tiếp tục ủng hộ Shop nhé <3 LKL",0,2,,
1778,Người dùng Shopee,3,2019-08-26 22:19,Phân loại hàng: Hương Ylang Ylang,"Giao hàng nhanh, mình mua chai màu vàng mùi không thích cho lắm, đầu xịt khó, tạm được",,0,2,,
1779,n*****5,3,2023-01-18 18:41,Phân loại hàng: Hương gỗ,"Thời gian giao hàng lâu, đóng gói sp sơ xài, bên trong hộp của xịt khử mùi cứ vàng vàng giống hàng cũ, do vận chuyển nên vỏ hộp cũng nhăn nheo nhiều. 
Ưu điểm: date xa đến 20-21/10/2025., rep tin nhắn nhanh. 
Sẽ phải cân nhắc khi mua lại sp.","Rohto Mentholatum Viet Nam xin chào bạn, rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Viet Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ quý khách..
",0,2,,
1780,b*****e,2,2020-11-19 12:43,Phân loại hàng: Hương Hương Thảo,xịt ra không xịt được ạ 😀??????????  Mùi cx thơm mna xịt ra em k xịt được luôn ý ,,0,1,,
1781,xuanan3758,2,2022-03-30 16:21,Phân loại hàng: Hương gỗ,"Công dụng: Khử mùi, giảm tiết mồ hôi
Mùi hương: Khi mới xịt có hơi nồng, sau là dịu lại ngay.
Phù hợp với loại da: Mọi loại da
Mall nhưng gói hàng không kĩ, đến tay khách thì như hình. Best express giao hàng không gọi cho khách lại tự ý báo không thành công.","Shop rất tiếc khi bạn chưa hài lòng vè sản phẩm nhận được. Shop xin ghi nhận thông tin chuyển đến bộ phận liên quan để kiểm tra và cải thiện vấn đề đóng gói cùng chất lượng dịch vụ giao hàng trong thời gian tới, mong bạn thông cảm cho shop nhé. Shop xin chia sẻ thêm với những đơn hàng sau, nếu bạn gặp những vấn đề bất tiện khi nhận hàng cũng như chưa hài lòng với sản phẩm, bạn đừng bấm Đã nhận hàng và hãy liên hệ đến shop qua khung chat để shop được hỗ trợ bạn tốt nhất nha.^LHT",0,1,,
1782,nah311,2,2020-07-26 20:07,Phân loại hàng: Hương Ngọc Lan Tây,"Chai xịt khử mùi bay hương rất nhanh nhưng là sp thiên nhiên nên chấp nhận đc. Nhưng vòi xịt thì rất tệ, xịt bị cứng và chảy nc ra ngoài. ",,0,1,,
1783,phamduongvananh,2,2020-05-05 17:57,Phân loại hàng: Hương Hương Thảo,Tuy mùi rất thích nhưng xịt không ra nước cứ bị đọng lại một chỗ,"Shop cảm ơn bạn đã phản hồi thông tin và rất tiếc vì sự cố bạn gặp phải :( . Shop xin ghi nhận góp ý của bạn shop sẽ cố gắng khắc phục trong khâu kiểm tra hàng để bạn có trải nghiệm tốt hơn khi mua sắm ở shop ạ. tuy nhiên lần sau bạn gặp vấn đề bất tiện bạn đừng ngại liên hệ đến shop để shop tiện hỗ trợ bạn hơn nha ^PHH
",0,1,,
1784,phuonghuer6627,1,2022-03-24 14:05,Phân loại hàng: Hồng mộc lan,"Công dụng: xịt khử mùi
Mùi hương: như mùi nước có gas hương vải
Kết cấu: lỏng, chai cũ mình mua xoa nó ra ít bọt còn chai này thì ko nó như nước thường ý.
Mình không hiểu shop mall của rohto mà lại bán hàng fake lòi thế này đây. Đầu tiên là bao bì: vỏ giấy mỏng như bìa tập trắng rẻ tiền ko cứng như vỏ chai trong siêu thị mình mua, chữ in cũng ko đc rõ nét. Hai là mùi hương mùi ko bám lâu như chai cũ, mùi nhạt toẹt như nước ngọt hương vải,.............",,0,1,,
