,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
343,_*****_,5,2022-07-26 09:57,,"Công dụng: Trị mụn
Mùi hương: Không
Dành cho da: Mụn
Shop giao hàng nhanh, sản phẩm dùng ổn , cồi mụn đẩy lên và dễ nặn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.

",0,58,1,0.99490935
344,t*****3,5,2022-11-09 10:40,,"Công dụng: trị mụn
Dành cho da: mụn
Giao hàng nhanh mua lần thứ 2 ở đây rui sẽ ủng hộ tiếp , mua còn được tặng thêm miếng dán mụn và gel rửa mặt nữa thích cực 💞","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,58,0,0.016746359
345,l*****0,5,2022-09-08 19:07,,"Công dụng: chấm mụn
Mùi hương: như cũ.
Dành cho da: :V. loại này xài oke hơn loại cũ. do nó ko để làm lớp màng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,58,0,8.674004e-10
346,xuankhoiphamtran,5,2022-05-07 11:26,,"Kem giảm mụn chuyên sâu dùng ổn, mình đã mua mấy lần rồi Shop đóng gói cẩn thận",,0,58,0,0.02845284
347,s*****t,5,2022-09-09 11:59,,"Sản phẩm dùng rất tốt, shop đóng gói kĩ, giao hàng nhanh chóng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,58,0,0.39232433
348,Người dùng Shopee,5,2022-09-28 18:09,,"Công dụng: hồi chinh
Mùi hương: thoem
Dành cho da: mụn
Sài ok tầm 1 tuần bớt thâm bớt mụn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,59,0,3.6464687e-07
349,_*****_,5,2022-07-26 09:57,,"Công dụng: Trị mụn
Mùi hương: Không
Dành cho da: Mụn
Shop giao hàng nhanh, sản phẩm dùng ổn , cồi mụn đẩy lên và dễ nặn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.

",0,59,1,0.99490935
350,t*****3,5,2022-11-09 10:40,,"Công dụng: trị mụn
Dành cho da: mụn
Giao hàng nhanh mua lần thứ 2 ở đây rui sẽ ủng hộ tiếp , mua còn được tặng thêm miếng dán mụn và gel rửa mặt nữa thích cực 💞","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,59,0,0.016746359
351,l*****0,5,2022-09-08 19:07,,"Công dụng: chấm mụn
Mùi hương: như cũ.
Dành cho da: :V. loại này xài oke hơn loại cũ. do nó ko để làm lớp màng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,59,0,8.674004e-10
352,xuankhoiphamtran,5,2022-05-07 11:26,,"Kem giảm mụn chuyên sâu dùng ổn, mình đã mua mấy lần rồi Shop đóng gói cẩn thận",,0,59,0,0.02845284
